Building ID,Address,Zip,Cohort - Sector,Cohort - Size,Verification Year,Community Area Name,Community Area Number,Ward,Latitude,Longitude,Location
106236,5131 S Linder Ave,60638,Municipal,"50,000 - 250,000 Sq Ft",2019,GARFIELD RIDGE,56,14,41.799519,-87.759992,"(41.799519, -87.759992)"
251457,10041 S Union Ave,60628,Municipal,"50,000 - 250,000 Sq Ft",2019,WASHINGTON HEIGHTS,73,34,41.71106181,-87.64020407,"(41.71106181, -87.64020407)"
152408,735 745 W GARFIELD BLVD,60621,Residential,"50,000 - 250,000 Sq Ft",2019,ENGLEWOOD,68,20,41.7761313,-87.64068948,"(41.7761313, -87.64068948)"
131999,646 652 S CLARK ST,60605,Residential,"50,000 - 250,000 Sq Ft",2019,LOOP,32,4,41.86863212,-87.62730687,"(41.86863212, -87.62730687)"
162804,3539 N HALSTED ST,60657,Residential,"50,000 - 250,000 Sq Ft",2019,LAKE VIEW,6,46,41.9398511,-87.65844752,"(41.9398511, -87.65844752)"
254573,3753 3755 S Cottage Grove Ave,60653,Commercial,"50,000 - 250,000 Sq Ft",2019,Oakland,36,4,41.81571174,-87.61826048,"(41.81571174, -87.61826048)"
251584,7240 S Wabash Ave,60619,Municipal,"50,000 - 250,000 Sq Ft",2019,GREATER GRAND CROSSING,69,6,41.76239877,-87.62373586,"(41.76239877, -87.62373586)"
133159,467 W Deming Pl,60614,Commercial,"50,000 - 250,000 Sq Ft",2021,LINCOLN PARK,7,43,41.92884376,-87.64165184,"(41.92884376, -87.64165184)"
251607,4837 W Erie St,60644,Municipal,"50,000 - 250,000 Sq Ft",2019,AUSTIN,25,37,41.89203698,-87.7473847,"(41.89203698, -87.7473847)"
112622,5918 N KENMORE AVE,60660,Residential,"50,000 - 250,000 Sq Ft",2019,EDGEWATER,77,48,41.99090057,-87.66660744,"(41.99090057, -87.66660744)"
113026,1909 1935 S STATE ST,60616,Residential,"50,000 - 250,000 Sq Ft",2019,NEAR SOUTH SIDE,33,3,41.84550365,-87.63055693,"(41.84550365, -87.63055693)"
251686,8914 S Buffalo Ave,60617,Municipal,"50,000 - 250,000 Sq Ft",2019,SOUTH CHICAGO,46,10,41.73300328,-87.54483215,"(41.73300328, -87.54483215)"
251241,212 E Cullerton St,60616,Residential,"50,000 - 250,000 Sq Ft",2021,NEAR SOUTH SIDE,33,3,41.85554,-87.621981,"(41.85554, -87.621981)"
254361,201 N GARLAND CT,60601,Residential,"> 250,000 Sq Ft",2021,Loop,32,42,41.8858198,-87.62537143,"(41.8858198, -87.62537143)"
175538,5950 S KING DR,60637,Residential,"50,000 - 250,000 Sq Ft",2019,WASHINGTON PARK,40,20,41.78046327,-87.6053081,"(41.78046327, -87.6053081)"
175053,5330 N DAMEN AVE,60625,Residential,"50,000 - 250,000 Sq Ft",2019,LINCOLN SQUARE,4,40,41.97208235,-87.70234945,"(41.97208235, -87.70234945)"
172157,437 E 60TH ST,60637,Residential,"50,000 - 250,000 Sq Ft",2019,WOODLAWN,42,20,41.78046327,-87.6053081,"(41.78046327, -87.6053081)"
102473,523 531 W CORNELIA AVE,60657,Residential,"50,000 - 250,000 Sq Ft",2019,LAKE VIEW,6,46,41.9398511,-87.65844752,"(41.9398511, -87.65844752)"
251737,2022 W Washington Blvd,60612,Municipal,"50,000 - 250,000 Sq Ft",2019,NEAR WEST SIDE,28,27,41.88336292,-87.6776548,"(41.88336292, -87.6776548)"
101757,219 S Dearborn,60604,Commercial,"> 250,000 Sq Ft",2019,LOOP,32,42,41.87881863,-87.62895341,"(41.87881863, -87.62895341)"
114819,5401 S HYDE PARK BLVD,60615,Residential,"50,000 - 250,000 Sq Ft",2021,HYDE PARK,41,5,41.80224043,-87.60332678,"(41.80224043, -87.60332678)"
244073,900 N Lake Shore Dr,60611,Residential,"> 250,000 Sq Ft",2021,NEAR NORTH SIDE,8,2,41.89949788,-87.61957344,"(41.89949788, -87.61957344)"
251483,1650 W Cornelia Ave,60657,Municipal,"50,000 - 250,000 Sq Ft",2019,LAKE VIEW,6,47,41.9454957,-87.67065657,"(41.9454957, -87.67065657)"
251653,116 N LECLAIRE AVE,60644,Municipal,"50,000 - 250,000 Sq Ft",2019,AUSTIN,25,28,41.88220902,-87.75311013,"(41.88220902, -87.75311013)"
162321,1529 N Dearborn Pkwy,60610,Commercial,"50,000 - 250,000 Sq Ft",2019,NEAR NORTH SIDE,8,2,41.910193,-87.630119,"(41.910193, -87.630119)"
251247,520 W Huron St,60654,Residential,"> 250,000 Sq Ft",2021,NEAR NORTH SIDE,8,42,41.89494211,-87.6420968,"(41.89494211, -87.6420968)"
106027,505 W BELMONT AVE,60657,Residential,"50,000 - 250,000 Sq Ft",2019,LAKE VIEW,6,44,41.9398511,-87.65844752,"(41.9398511, -87.65844752)"
251228,444 N Wells St,60654,Commercial,"50,000 - 250,000 Sq Ft",2019,NEAR NORTH SIDE,8,42,41.89053894,-87.6340678,"(41.89053894, -87.6340678)"
102435,60 W ERIE ST,60654,Residential,"50,000 - 250,000 Sq Ft",2019,NEAR NORTH SIDE,8,42,41.89158015,-87.63783734,"(41.89158015, -87.63783734)"
252121,211 E Grand Ave,60611,Residential,"50,000 - 250,000 Sq Ft",2021,NEAR NORTH SIDE,8,42,41.89145765,-87.62213489,"(41.89145765, -87.62213489)"
251452,1420 N Hudson Ave,60610,Municipal,"50,000 - 250,000 Sq Ft",2019,NEAR NORTH SIDE,8,27,41.90776018,-87.64005863,"(41.90776018, -87.64005863)"
160336,1401 S Blue Island Ave,60608,Residential,"50,000 - 250,000 Sq Ft",2019,NEAR WEST SIDE,28,25,41.86302485,-87.65535755,"(41.86302485, -87.65535755)"
251717,4034 W 56th St,60629,Municipal,"50,000 - 250,000 Sq Ft",2019,WEST ELSDON,62,13,41.79179488,-87.72496671,"(41.79179488, -87.72496671)"
